metric,method,budget_fraction,mean,std,normalized_mean,normalized_std,fullmesh_mean_error,samples,seeds
field,uniform,0.375,0.015434199445896251,0.0011085508916898062,3.015947865294304,0.21661840687505926,0.00511752859640037,110,3
field,uniform,0.5,0.011438714869878996,0.00018089963378354137,2.235202921567434,0.03534902255568924,0.00511752859640037,110,3
field,uniform,0.75,0.007492721956380032,0.00013756354835034885,1.4641289863334335,0.026880855819176076,0.00511752859640037,110,3
field,pi,0.375,0.008416941302648716,3.765708053276143e-05,1.6447277517059948,0.007358450436261193,0.00511752859640037,110,3
field,pi,0.5,0.006867132646822846,5.7613029470412376e-05,1.3418845674166109,0.011257979000046417,0.00511752859640037,110,3
field,pi,0.75,0.005435739713609185,4.2672033703781615e-05,1.0621806231688948,0.008338406498362665,0.00511752859640037,110,3
field,cpg,0.375,0.007696114889883366,0.00013936155599952952,1.503873353105785,0.02723219878000396,0.00511752859640037,110,3
field,cpg,0.5,0.006433336473157303,7.030376888697984e-05,1.2571178356839006,0.013737836059466471,0.00511752859640037,110,3
field,cpg,0.75,0.0053616425046539105,2.1342991652989958e-05,1.0477015230408773,0.004170566172898859,0.00511752859640037,110,3
field,ca,0.375,0.007336093468031185,6.140039816011679e-05,1.4335227111757298,0.011998056679801528,0.00511752859640037,110,3
field,ca,0.5,0.006087616343407383,9.605839408964913e-05,1.1895617637953924,0.01877046552455337,0.00511752859640037,110,3
field,ca,0.75,0.005251391480873322,3.802468943086091e-05,1.0261577208512545,0.00743028372281245,0.00511752859640037,110,3
cdcl,uniform,0.375,0.8916002045131589,1.3265380813773577,58.61774333174827,87.21248422820449,0.01521041503537811,110,3
cdcl,uniform,0.5,0.04981682273853094,0.02583839096360968,3.2751783973455897,1.6987301729447761,0.01521041503537811,110,3
cdcl,uniform,0.75,0.01948796175351412,0.0031385710936879326,1.2812248520626695,0.20634355383386235,0.01521041503537811,110,3
cdcl,pi,0.375,0.020112521426199386,0.00830671849011271,1.3222861690111283,0.5461204359507614,0.01521041503537811,110,3
cdcl,pi,0.5,0.01702123667278548,0.0021354601232432516,1.1190514284584316,0.14039459924508016,0.01521041503537811,110,3
cdcl,pi,0.75,0.016221619834203897,0.001875014426952322,1.0664810786867953,0.12327174653625168,0.01521041503537811,110,3
cdcl,cpg,0.375,0.01860694595812736,0.0030351018930363585,1.223302974629503,0.19954103066727463,0.01521041503537811,110,3
cdcl,cpg,0.5,0.019266385859882777,0.0009486020041699673,1.2666574722038044,0.06236529390970602,0.01521041503537811,110,3
cdcl,cpg,0.75,0.016388576282276187,0.000620466727742151,1.0774575344694919,0.04079222863406416,0.01521041503537811,110,3
cdcl,ca,0.375,0.02438421103746366,0.005956189190446945,1.6031259489466982,0.39158623723240715,0.01521041503537811,110,3
cdcl,ca,0.5,0.017571779367829585,0.004021977189608319,1.1552465417254656,0.26442258020268006,0.01521041503537811,110,3
cdcl,ca,0.75,0.018010918557391946,0.002235402227015593,1.184117495512128,0.14696523545322338,0.01521041503537811,110,3
