method,sample_id,seed,budget_fraction,selected_count,pressure_field_relative_l2
ca,1640,6,0.375,4227,0.012452820227107995
ca,1640,6,0.5,5636,0.009595394572673013
ca,1640,6,0.75,8453,0.007899904700395232
ca,1640,7,0.375,4227,0.010505498115594966
ca,1640,7,0.5,5636,0.009298801311788021
ca,1640,7,0.75,8453,0.0076847149807392915
ca,1640,8,0.375,4227,0.013051105694376997
ca,1640,8,0.5,5636,0.010811876493112972
ca,1640,8,0.75,8453,0.007533738237629585
ca,2067,6,0.375,4227,0.003207452167556397
ca,2067,6,0.5,5636,0.003106064574354066
ca,2067,6,0.75,8453,0.0028617649607252968
ca,2067,7,0.375,4227,0.004053861740270133
ca,2067,7,0.5,5636,0.0029606557057586832
ca,2067,7,0.75,8453,0.0027916007684291944
ca,2067,8,0.375,4227,0.003790208319210802
ca,2067,8,0.5,5636,0.0027993331031860606
ca,2067,8,0.75,8453,0.00295884556181393
ca,1845,6,0.375,4227,0.010839062405613385
ca,1845,6,0.5,5636,0.010236424621446822
ca,1845,6,0.75,8453,0.010451119669898935
ca,1845,7,0.375,4227,0.011462547077652737
ca,1845,7,0.5,5636,0.011162144152380524
ca,1845,7,0.75,8453,0.010694302597969305
ca,1845,8,0.375,4227,0.010404628919448048
ca,1845,8,0.5,5636,0.009757709168913628
ca,1845,8,0.75,8453,0.010220406299439556
ca,1426,6,0.375,4227,0.005244187985996742
ca,1426,6,0.5,5636,0.0058240617497151885
ca,1426,6,0.75,8453,0.00657518084010522
ca,1426,7,0.375,4227,0.005970493110151515
ca,1426,7,0.5,5636,0.005533790597837301
ca,1426,7,0.75,8453,0.006575639784192352
ca,1426,8,0.375,4227,0.006075177635852349
ca,1426,8,0.5,5636,0.005609819675853509
ca,1426,8,0.75,8453,0.006098228415532347
ca,1756,6,0.375,4227,0.003451899540678274
ca,1756,6,0.5,5636,0.003141378186756942
ca,1756,6,0.75,8453,0.002894631247676472
ca,1756,7,0.375,4227,0.004897891350358652
ca,1756,7,0.5,5636,0.0034474549731024974
ca,1756,7,0.75,8453,0.0027747954118408137
ca,1756,8,0.375,4227,0.004981789932653614
ca,1756,8,0.5,5636,0.0041466947825400625
ca,1756,8,0.75,8453,0.0031575365070028684
ca,1919,6,0.375,4227,0.004475770799579111
ca,1919,6,0.5,5636,0.003558983584500832
ca,1919,6,0.75,8453,0.003021661744869682
ca,1919,7,0.375,4227,0.0054375991766176515
ca,1919,7,0.5,5636,0.004323734736224184
ca,1919,7,0.75,8453,0.003610927695224474
ca,1919,8,0.375,4227,0.004950364588861957
ca,1919,8,0.5,5636,0.005313390377342008
ca,1919,8,0.75,8453,0.003547069185704497
ca,1684,6,0.375,4227,0.006370952274565196
ca,1684,6,0.5,5636,0.00592014931923982
ca,1684,6,0.75,8453,0.006277115763522718
ca,1684,7,0.375,4227,0.006396044733276722
ca,1684,7,0.5,5636,0.006991042456382503
ca,1684,7,0.75,8453,0.006296119886942194
ca,1684,8,0.375,4227,0.005989992556475504
ca,1684,8,0.5,5636,0.006500730493281534
ca,1684,8,0.75,8453,0.006396622137339546
ca,1581,6,0.375,4227,0.004069512516550066
ca,1581,6,0.5,5636,0.0037934045345362592
ca,1581,6,0.75,8453,0.0023274420976718336
ca,1581,7,0.375,4227,0.0046483545036262374
ca,1581,7,0.5,5636,0.0033408583225828996
ca,1581,7,0.75,8453,0.0026248479634020396
ca,1581,8,0.375,4227,0.00413818190015923
ca,1581,8,0.5,5636,0.0034480481540310253
ca,1581,8,0.75,8453,0.0024740039245327583
ca,2425,6,0.375,4227,0.009134102610077344
ca,2425,6,0.5,5636,0.008209479355902103
ca,2425,6,0.75,8453,0.007430491339332995
ca,2425,7,0.375,4227,0.010356676096555766
ca,2425,7,0.5,5636,0.00867513346414993
ca,2425,7,0.75,8453,0.006584952691167865
ca,2425,8,0.375,4227,0.008640960980567181
ca,2425,8,0.5,5636,0.007384927504148822
ca,2425,8,0.75,8453,0.006912499286516468
ca,2265,6,0.375,4227,0.003076392148899848
ca,2265,6,0.5,5636,0.002908692504354628
ca,2265,6,0.75,8453,0.002668802825255039
ca,2265,7,0.375,4227,0.0034503397449095275
ca,2265,7,0.5,5636,0.0030907456368403315
ca,2265,7,0.75,8453,0.0027235240440456557
ca,2265,8,0.375,4227,0.002975603323547726
ca,2265,8,0.5,5636,0.0028720855201316083
ca,2265,8,0.75,8453,0.002694260044836388
