benchmark,metric,method,beta,production_beta,cases,rauec_mean,rauec_std,relative_to_beta0_mean,relative_to_beta0_std
airfoil2d,field,pi,0.0,1.0,110,3.285199084469553,0.13846342775977896,1.0,0.0
airfoil2d,field,pi,0.25,1.0,110,2.450493701070222,0.11917437375287293,0.7458022704906867,0.007818971806299826
airfoil2d,field,pi,0.5,1.0,110,1.5310986936914102,0.06346564644441872,0.4660891793248945,0.005582342020079566
airfoil2d,field,pi,0.75,1.0,110,0.8430536623345214,0.023083522651031373,0.25678596501906464,0.007836415495771172
airfoil2d,field,pi,1.0,1.0,110,0.6165587931140926,0.01969565480115857,0.18778671081538115,0.006038513376094895
airfoil2d,field,cpg,0.0,1.0,110,5.673311635467738,0.12208548478220227,1.0,0.0
airfoil2d,field,cpg,0.25,1.0,110,4.844550264784857,0.18207912310964744,0.8537212395327995,0.013991583661418179
airfoil2d,field,cpg,0.5,1.0,110,3.4684427173298094,0.04458173017581607,0.6114463840465335,0.006619771600170775
airfoil2d,field,cpg,0.75,1.0,110,1.4981802883911517,0.05762796987284807,0.2640282701571886,0.005893563765173965
airfoil2d,field,cpg,1.0,1.0,110,0.5830755510512328,0.021864452674256067,0.10280157069736927,0.004226303711975868
airfoil2d,field,ca,0.0,1.0,110,4.182893198007203,0.1307658392720871,1.0,0.0
airfoil2d,field,ca,0.25,1.0,110,3.3762965474196793,0.0886332833682717,0.8072553913456049,0.004574283806648416
airfoil2d,field,ca,0.5,1.0,110,2.266996678329322,0.0562554463178153,0.5420425976566249,0.0035517184370805286
airfoil2d,field,ca,0.75,1.0,110,1.102614335948658,0.04871628508293941,0.26356304887371945,0.006214258694328251
airfoil2d,field,ca,1.0,1.0,110,0.5579210712704357,0.013918678801735992,0.13340087205857157,0.0011433235205099257
airfoil2d,cdcl,pi,0.0,1.0,110,11.39637777047389,10.582925730634432,1.0,0.0
airfoil2d,cdcl,pi,0.25,1.0,110,3.844893674650031,3.3755495895604035,0.5080271821140055,0.32775367178805553
airfoil2d,cdcl,pi,0.5,1.0,110,5.137556398156578,2.1672378352408996,2.6379825327874045,4.084577235346811
airfoil2d,cdcl,pi,0.75,1.0,110,1.0643755571980316,0.7674184089371294,0.19106660044524681,0.1793711762563139
airfoil2d,cdcl,pi,1.0,1.0,110,0.21740789812807268,0.16875299674582236,0.032578658177381495,0.02459902337225287
airfoil2d,cdcl,cpg,0.0,1.0,110,2.1147239144317433,1.0263921117707047,1.0,0.0
airfoil2d,cdcl,cpg,0.25,1.0,110,4.061860000195217,4.094751213958673,1.5911046429043718,1.4469418575919146
airfoil2d,cdcl,cpg,0.5,1.0,110,3.3734780250215626,4.4454811983280695,1.2686081056572915,1.5641864874933926
airfoil2d,cdcl,cpg,0.75,1.0,110,0.4521490689238976,0.3344737425389681,0.1842444098333181,0.09643986567761034
airfoil2d,cdcl,cpg,1.0,1.0,110,0.23794918587952685,0.17810064559318636,0.09845821486290418,0.05076493523011064
airfoil2d,cdcl,ca,0.0,1.0,110,1.758287387455636,1.255245082911762,1.0,0.0
airfoil2d,cdcl,ca,0.25,1.0,110,1.3851640321088656,0.5742764606553558,1.148418551998348,0.8022805049240245
airfoil2d,cdcl,ca,0.5,1.0,110,0.708276890634952,0.4874521859222157,0.4018922193233088,0.06550378529636648
airfoil2d,cdcl,ca,0.75,1.0,110,0.37925276658586876,0.3351505163717584,0.21580698988052816,0.12773927966251414
airfoil2d,cdcl,ca,1.0,1.0,110,0.24527881710358732,0.17791194281100417,0.1366332495511531,0.04465431416019264
pipe,field,pi,0.0,0.75,200,4.123399064759531,0.041787850723025134,1.0,0.0
pipe,field,pi,0.25,0.75,200,2.1263919623887673,0.01436720669952392,0.5157010268334993,0.0017899228413170468
pipe,field,pi,0.5,0.75,200,1.0409637223723949,0.004945304189624974,0.25246303887374527,0.0016155934733033553
pipe,field,pi,0.75,0.75,200,0.8711319133141324,0.006085259746280722,0.2112700988907842,0.0007101189760516472
pipe,field,pi,1.0,0.75,200,0.8911063682496575,0.006057451617258385,0.21611456380187014,0.0007269440832916456
pipe,field,cpg,0.0,1.0,200,11.100351366090129,0.1371092087607403,1.0,0.0
pipe,field,cpg,0.25,1.0,200,7.588424481537395,0.1069711793992683,0.6836170233243539,0.003813668169322712
pipe,field,cpg,0.5,1.0,200,3.7681723094144206,0.07187430288164351,0.33946240566095004,0.004695833130829809
pipe,field,cpg,0.75,1.0,200,1.0428800889465568,0.010151515622068358,0.09395712384553832,0.0012006433103264385
pipe,field,cpg,1.0,1.0,200,0.6719059574950998,0.009813626740814449,0.06053054297406088,0.0005430791467803352
pipe,field,ca,0.0,1.0,200,12.724373274989217,0.06680872181459349,1.0,0.0
pipe,field,ca,0.25,1.0,200,8.953743803796586,0.024151886854915587,0.7036758198149693,0.002204609588277798
pipe,field,ca,0.5,1.0,200,4.553545726881965,0.017406253249201465,0.35786370504396486,0.0014766715349862215
pipe,field,ca,0.75,1.0,200,1.1809954778472826,0.004454989953301879,0.09281425727386239,0.0002344119731041658
pipe,field,ca,1.0,1.0,200,0.7050947041970849,0.011573150536049138,0.05541075387943966,0.0006206814087063796
darcy,field,pi,0.0,0.5,200,1.031459585309241,0.016543398518284583,1.0,0.0
darcy,field,pi,0.25,0.5,200,1.0087958879000303,0.017015387612185042,0.978019459795432,0.0016906365051171073
darcy,field,pi,0.5,0.5,200,0.9964534237156459,0.017732288602705686,0.9660460112664776,0.0034001468825504764
darcy,field,pi,0.75,0.5,200,0.993885774242413,0.01864685211642754,0.9635501700836371,0.005093674782405079
darcy,field,pi,1.0,0.5,200,1.000285332332939,0.01969989339684245,0.9697492544384283,0.00675190802155225
darcy,field,cpg,0.0,1.0,200,4.2778357137319,0.04737568508520594,1.0,0.0
darcy,field,cpg,0.25,1.0,200,3.2615945482892568,0.03580596287079702,0.7624409110235663,0.000248352409906092
darcy,field,cpg,0.5,1.0,200,2.2440122072622497,0.025882983462671712,0.5245654176510858,0.0003401686383838857
darcy,field,cpg,0.75,1.0,200,1.2714015969051624,0.01444446692784204,0.2972062212862766,0.0003142885987681325
darcy,field,cpg,1.0,1.0,200,0.6418721267903086,0.004924251680986043,0.15004982354907231,0.0005290487935017251
darcy,field,ca,0.0,1.0,200,4.265364037655843,0.052721435857828146,1.0,0.0
darcy,field,ca,0.25,1.0,200,3.2510474196958348,0.03966734583688675,0.762197938413257,0.0001213735788188457
darcy,field,ca,0.5,1.0,200,2.2353690456729356,0.02736459592128019,0.5240752576435493,0.0004919665381964869
darcy,field,ca,0.75,1.0,200,1.2664631318092183,0.01369894938735193,0.29692342291170665,0.0013298145804440966
darcy,field,ca,1.0,1.0,200,0.6400245026723431,0.006220597874921968,0.1500570996272773,0.0010920515857922263
elasticity,field,pi,0.0,0.5,200,0.7313861419499069,0.008391385483274722,1.0,0.0
elasticity,field,pi,0.25,0.5,200,0.7279754563897519,0.008262922481154128,0.9953376859786961,0.000548687916608189
elasticity,field,pi,0.5,0.5,200,0.7280434730960325,0.008321120043804513,0.9954300967141786,0.0005762239587455795
elasticity,field,pi,0.75,0.5,200,0.7305043685186742,0.008437988634999777,0.9987938819038754,0.000607816371261423
elasticity,field,pi,1.0,0.5,200,0.7359839219979514,0.008515230743357822,1.0062857108807732,0.000512066094132704
elasticity,field,cpg,0.0,1.0,200,0.4831604714270689,0.0025586239679994873,1.0,0.0
elasticity,field,cpg,0.25,1.0,200,0.47368736600364425,0.004031054413325559,0.9804307716113022,0.012326074412377928
elasticity,field,cpg,0.5,1.0,200,0.4705537374754429,0.004042343659527515,0.9739432748019189,0.012113307162971789
elasticity,field,cpg,0.75,1.0,200,0.46870260354280485,0.004081813239693523,0.970110847574683,0.012028056037273076
elasticity,field,cpg,1.0,1.0,200,0.4681466001521573,0.0041458621705755,0.9689595354974697,0.012054163750038266
elasticity,field,ca,0.0,1.0,200,0.5505519497824353,0.002400954200741965,1.0,0.0
elasticity,field,ca,0.25,1.0,200,0.5488387217305848,0.002163495947105654,0.9968893788236771,0.00043199703268516115
elasticity,field,ca,0.5,1.0,200,0.5476783736499812,0.002040178536312909,0.9947824025492603,0.0006628119663247308
elasticity,field,ca,0.75,1.0,200,0.5470532157753986,0.0020495124891446773,0.9936468307861862,0.0006490057425315215
elasticity,field,ca,1.0,1.0,200,0.5469000164761854,0.0020702356037038154,0.9933684548192717,0.0006170330060168464
plasticity2d,field,pi,0.0,1.0,80,1.4392575485386796,0.009273597471887494,1.0,0.0
plasticity2d,field,pi,0.25,1.0,80,1.2231223874418224,0.00764614578723792,0.8498294313017244,0.0002901425828844258
plasticity2d,field,pi,0.5,1.0,80,1.037233361947269,0.006334626807259988,0.7206737371422367,0.0006775509056225603
plasticity2d,field,pi,0.75,1.0,80,0.9140293895464516,0.005281355133534208,0.6350721642023235,0.0008563115974432764
plasticity2d,field,pi,1.0,1.0,80,0.8888408789345079,0.004061936785306849,0.6175741004340926,0.0012502246987551307
plasticity2d,field,cpg,0.0,1.0,80,2.315267495388005,0.012175267817085812,1.0,0.0
plasticity2d,field,cpg,0.25,1.0,80,1.7956236859418233,0.023844984399877756,0.7755359406804424,0.006227452175230969
plasticity2d,field,cpg,0.5,1.0,80,1.3384554068441548,0.015958641960386006,0.5780865972889323,0.003941534131541362
