benchmark,metric,method,beta,beta0_mean_rauec,selected_mean_rauec,mean_rauec_decrease_percent,bold_beta0,bold_selected
airfoil2d,field,pi,1.0,3.285199084469553,0.6165587931140926,81.23222437176449,False,True
airfoil2d,field,cpg,1.0,5.673311635467738,0.5830755510512328,89.72248329518813,False,True
airfoil2d,field,ca,1.0,4.182893198007203,0.5579210712704357,86.66183799442362,False,True
pipe,field,pi,0.75,4.123399064759531,0.8711319133141324,78.87345125628933,False,True
pipe,field,cpg,1.0,11.100351366090129,0.6719059574950998,93.94698478151179,False,True
pipe,field,ca,1.0,12.724373274989217,0.7050947041970849,94.45870779676822,False,True
darcy,field,pi,0.5,1.031459585309241,0.9964534237156459,3.3938471358623157,False,True
darcy,field,cpg,1.0,4.2778357137319,0.6418721267903086,84.99540025041419,False,True
darcy,field,ca,1.0,4.265364037655843,0.6400245026723431,84.99484458953502,False,True
elasticity,field,pi,0.5,0.7313861419499069,0.7280434730960325,0.4570320193602151,False,True
elasticity,field,cpg,1.0,0.4831604714270689,0.4681466001521573,3.107429552456231,False,True
elasticity,field,ca,1.0,0.5505519497824353,0.5469000164761854,0.6633222001471539,False,True
plasticity2d,field,pi,1.0,1.4392575485386796,0.8888408789345079,38.24309764176855,False,True
plasticity2d,field,cpg,1.0,2.315267495388005,0.8889984799496041,61.60277455108396,False,True
plasticity2d,field,ca,1.0,1.890752994398692,0.8897146033821274,52.94390086817874,False,True
shapenet_car,field,pi,0.5,0.6301494272531376,0.5895153751427126,6.448320089339998,False,True
shapenet_car,field,cpg,1.0,0.5962183503117899,0.557696010355432,6.461112767866473,False,True
shapenet_car,field,ca,1.0,0.5961731415729691,0.5577376679241605,6.447032073165659,False,True
driverml,field,pi,1.0,0.9398472987492044,0.8834218637686698,6.00368113582157,False,True
driverml,field,cpg,1.0,0.9297623916044581,0.8245837094938565,11.312425955313,False,True
driverml,field,ca,1.0,1.3279682456355006,0.8263470726403778,37.773581909337864,False,True
superwing,field,pi,1.0,0.8369255149831272,0.7564015031544041,9.621407208543097,False,True
superwing,field,cpg,1.0,1.9796007915405458,0.6705875596011484,66.12511156457509,False,True
superwing,field,ca,1.0,2.325157585437322,0.7192670041910207,69.06588143978469,False,True
airfoil2d,cdcl,pi,1.0,11.39637777047389,0.21740789812807268,98.09230702503264,False,True
airfoil2d,cdcl,cpg,1.0,2.1147239144317433,0.23794918587952685,88.7479786720307,False,True
airfoil2d,cdcl,ca,1.0,1.758287387455636,0.24527881710358732,86.0501292989127,False,True
shapenet_car,cd,pi,0.5,0.7649313841527001,0.656056472145142,14.233291281172466,False,True
shapenet_car,cd,cpg,0.75,0.8113423121874671,0.6474297633445801,20.202637823850324,False,True
shapenet_car,cd,ca,0.75,0.8130403480587131,0.6478563276651766,20.316829390809986,False,True
driverml,cd,pi,1.0,4.955260300185945,0.9245462404290669,81.34212565191837,False,True
driverml,cd,cpg,1.0,2.5120827694587606,0.9209289585054229,63.340023278618276,False,True
driverml,cd,ca,1.0,2.8281897550773576,0.9243830681159455,67.31538021957577,False,True
superwing,cdcl,pi,1.0,1.409340001325108,0.8245604098914813,41.49315217646542,False,True
superwing,cdcl,cpg,1.0,1.4403029760778665,0.8025912635224284,44.276219875071746,False,True
superwing,cdcl,ca,1.0,1.766904288774521,0.8167495818964738,53.77510898097655,False,True
