benchmark,budget,method,mode,metric,cases,mean,case_std
pipe,0.375,uniform,original,relative_l2,9,0.01517189500813866,0.011399946139931524
pipe,0.375,uniform,fast,relative_l2,9,0.01596908910300394,0.011160131050969292
pipe,0.375,uniform,previous_runtime,relative_l2,9,0.01517189500813866,0.011399946139931524
pipe,0.375,pi,original,relative_l2,9,0.008959401694376791,0.004399314844450928
pipe,0.375,pi,fast,relative_l2,9,0.010447035831079678,0.004005178526517587
pipe,0.375,pi,previous_runtime,relative_l2,9,0.008959401694376791,0.004399314844450928
pipe,0.375,cpg,original,relative_l2,9,0.00638950453164485,0.004246529568842069
pipe,0.375,cpg,fast,relative_l2,9,0.007147392003122249,0.0037180031591517466
pipe,0.375,cpg,previous_runtime,relative_l2,9,0.005797502341675168,0.0033319719114043127
pipe,0.375,ca,original,relative_l2,9,0.006520233788634176,0.004238844451834705
pipe,0.375,ca,fast,relative_l2,9,0.0072356619647007386,0.003743993293414857
pipe,0.375,ca,previous_runtime,relative_l2,9,0.006059549930364122,0.003551142876134426
pipe,0.5,uniform,original,relative_l2,9,0.009874271745264066,0.005887670437449504
pipe,0.5,uniform,fast,relative_l2,9,0.010262284422175035,0.005784694424774849
pipe,0.5,uniform,previous_runtime,relative_l2,9,0.009874271745264066,0.005887670437449504
pipe,0.5,pi,original,relative_l2,9,0.006928896572735835,0.0028604170892662915
pipe,0.5,pi,fast,relative_l2,9,0.007523511279949463,0.002553043615083477
pipe,0.5,pi,previous_runtime,relative_l2,9,0.006928896572735835,0.0028604170892662915
pipe,0.5,cpg,original,relative_l2,9,0.005380638415537032,0.003732773993824013
pipe,0.5,cpg,fast,relative_l2,9,0.005870150826151423,0.0033965145824765308
pipe,0.5,cpg,previous_runtime,relative_l2,9,0.005126143963387148,0.003447438468444133
pipe,0.5,ca,original,relative_l2,9,0.006001012861586229,0.004175253298217921
pipe,0.5,ca,fast,relative_l2,9,0.006614643875824972,0.003725569401707277
pipe,0.5,ca,previous_runtime,relative_l2,9,0.0060733842798470685,0.004365865732702972
pipe,0.75,uniform,original,relative_l2,9,0.007260216975058204,0.004703858298822411
pipe,0.75,uniform,fast,relative_l2,9,0.007349743104873281,0.004641834935730809
pipe,0.75,uniform,previous_runtime,relative_l2,9,0.007260216975058204,0.004703858298822411
pipe,0.75,pi,original,relative_l2,9,0.005971323021264205,0.004619463696383007
pipe,0.75,pi,fast,relative_l2,9,0.006125736569588485,0.004506864821541725
pipe,0.75,pi,previous_runtime,relative_l2,9,0.005971323021264205,0.004619463696383007
pipe,0.75,cpg,original,relative_l2,9,0.00520065854269991,0.004901311538102951
pipe,0.75,cpg,fast,relative_l2,9,0.005333795344846301,0.004765203956282176
pipe,0.75,cpg,previous_runtime,relative_l2,9,0.005131354818881054,0.0048677283088440024
pipe,0.75,ca,original,relative_l2,9,0.005784089910733207,0.004868261357962568
pipe,0.75,ca,fast,relative_l2,9,0.006129107950387241,0.004650133897428507
pipe,0.75,ca,previous_runtime,relative_l2,9,0.0055807368505258964,0.004645553312297758
pipe,1.0,full,original,relative_l2,3,0.005053115969834228,0.005916363163128586
pipe,1.0,full,fast,relative_l2,3,0.005053115969834228,0.005916363163128586
pipe,1.0,full,previous_runtime,relative_l2,3,0.005053115969834228,0.005916363163128586
elasticity,0.375,uniform,original,relative_l2,9,0.12491712571064488,0.028743658299938246
elasticity,0.375,uniform,fast,relative_l2,9,0.12491712571064488,0.028743658299938246
elasticity,0.375,uniform,previous_runtime,relative_l2,9,0.12491712571064488,0.028743658299938246
elasticity,0.375,pi,original,relative_l2,9,0.09518520988460394,0.01387240002675409
elasticity,0.375,pi,fast,relative_l2,9,0.09518520988460394,0.01387240002675409
elasticity,0.375,pi,previous_runtime,relative_l2,9,0.09518520988460394,0.01387240002675409
elasticity,0.375,cpg,original,relative_l2,9,0.09356982940193447,0.024576674767031757
elasticity,0.375,cpg,fast,relative_l2,9,0.09356982940193447,0.024576674767031757
elasticity,0.375,cpg,previous_runtime,relative_l2,9,0.09246833526104156,0.024384083055565324
elasticity,0.375,ca,original,relative_l2,9,0.10840148907305426,0.020886033697802304
elasticity,0.375,ca,fast,relative_l2,9,0.10840148907305426,0.020886033697802304
elasticity,0.375,ca,previous_runtime,relative_l2,9,0.10376666046256497,0.020628085418282222
elasticity,0.5,uniform,original,relative_l2,9,0.08354224390829532,0.012526327989936968
elasticity,0.5,uniform,fast,relative_l2,9,0.08354224390829532,0.012526327989936968
elasticity,0.5,uniform,previous_runtime,relative_l2,9,0.08354224390829532,0.012526327989936968
elasticity,0.5,pi,original,relative_l2,9,0.06308906352415992,0.009968235697019448
elasticity,0.5,pi,fast,relative_l2,9,0.06308906352415992,0.009968235697019448
elasticity,0.5,pi,previous_runtime,relative_l2,9,0.06308906352415992,0.009968235697019448
elasticity,0.5,cpg,original,relative_l2,9,0.059729846411164716,0.009529534964441942
elasticity,0.5,cpg,fast,relative_l2,9,0.059729846411164716,0.009529534964441942
elasticity,0.5,cpg,previous_runtime,relative_l2,9,0.05961467206796205,0.009745708435449219
elasticity,0.5,ca,original,relative_l2,9,0.06129798884345114,0.0111190860047126
elasticity,0.5,ca,fast,relative_l2,9,0.06129798884345114,0.0111190860047126
elasticity,0.5,ca,previous_runtime,relative_l2,9,0.06107296723843755,0.009897790912591858
elasticity,0.75,uniform,original,relative_l2,9,0.04396306423032144,0.006865183831812218
elasticity,0.75,uniform,fast,relative_l2,9,0.04396306423032144,0.006865183831812218
elasticity,0.75,uniform,previous_runtime,relative_l2,9,0.04396306423032144,0.006865183831812218
elasticity,0.75,pi,original,relative_l2,9,0.034647879031462346,0.007376725172874307
elasticity,0.75,pi,fast,relative_l2,9,0.034647879031462346,0.007376725172874307
elasticity,0.75,pi,previous_runtime,relative_l2,9,0.034647879031462346,0.007376725172874307
elasticity,0.75,cpg,original,relative_l2,9,0.0320386603545639,0.009966511234292468
elasticity,0.75,cpg,fast,relative_l2,9,0.0320386603545639,0.009966511234292468
elasticity,0.75,cpg,previous_runtime,relative_l2,9,0.03099757563923936,0.01117692916285974
elasticity,0.75,ca,original,relative_l2,9,0.031060417528388992,0.007701704175101382
elasticity,0.75,ca,fast,relative_l2,9,0.031060417528388992,0.007701704175101382
elasticity,0.75,ca,previous_runtime,relative_l2,9,0.033734522059324576,0.009862966345074598
elasticity,1.0,full,original,relative_l2,3,0.009005026270945867,0.003038207383443143
elasticity,1.0,full,fast,relative_l2,3,0.009005026270945867,0.003038207383443143
elasticity,1.0,full,previous_runtime,relative_l2,3,0.009005026270945867,0.003038207383443143
darcy,0.375,uniform,original,relative_l2,9,0.025542145165339012,0.0053778038464422214
darcy,0.375,uniform,fast,relative_l2,9,0.025584117825736063,0.005399140350286459
darcy,0.375,uniform,previous_runtime,relative_l2,9,0.025542145165339012,0.0053778038464422214
darcy,0.375,pi,original,relative_l2,9,0.021190869602172435,0.0031362178625373785
darcy,0.375,pi,fast,relative_l2,9,0.0211829267818341,0.003168753889912891
darcy,0.375,pi,previous_runtime,relative_l2,9,0.021190869602172435,0.0031362178625373785
darcy,0.375,cpg,original,relative_l2,9,0.01568101085289811,0.0018288901301097866
darcy,0.375,cpg,fast,relative_l2,9,0.015887475285047848,0.001880679319835264
darcy,0.375,cpg,previous_runtime,relative_l2,9,0.015492634035890926,0.0016517309053010703
darcy,0.375,ca,original,relative_l2,9,0.015564179245604388,0.0018358610305422552
darcy,0.375,ca,fast,relative_l2,9,0.015763712625532618,0.0018744251948472977
darcy,0.375,ca,previous_runtime,relative_l2,9,0.015735450818643394,0.0016369413022094116
darcy,0.5,uniform,original,relative_l2,9,0.017235233501774458,0.002033513526116579
darcy,0.5,uniform,fast,relative_l2,9,0.017289509832690817,0.001976719962204498
darcy,0.5,uniform,previous_runtime,relative_l2,9,0.017235233501774458,0.002033513526116579
darcy,0.5,pi,original,relative_l2,9,0.017865787693871434,0.0026019761025944626
darcy,0.5,pi,fast,relative_l2,9,0.01790261138607327,0.002552588905959182
darcy,0.5,pi,previous_runtime,relative_l2,9,0.017865787693871434,0.0026019761025944626
darcy,0.5,cpg,original,relative_l2,9,0.014990015751543065,0.0016543707736069433
darcy,0.5,cpg,fast,relative_l2,9,0.015105631756921022,0.001692213476116979
darcy,0.5,cpg,previous_runtime,relative_l2,9,0.014577167475702943,0.0010918784866987253
darcy,0.5,ca,original,relative_l2,9,0.01495367908124561,0.0017731167705381107
darcy,0.5,ca,fast,relative_l2,9,0.015054253612782429,0.0018159043989420295
darcy,0.5,ca,previous_runtime,relative_l2,9,0.01476024440126894,0.0007021187962235929
