benchmark,budget,method,component,n,mean_ms,case_std_ms
pipe,0.375,uniform,adapter_increment_ms,9,2580.176511572467,5790.005681916276
pipe,0.375,uniform,case_preparation_ms,9,67.86504222287073,0.3739121683761167
pipe,0.375,uniform,reported_shared_input_preparation_ms,9,2585.7219886448647,5610.164036639755
pipe,0.375,uniform,gpu_runtime_and_reconstruction_preparation_ms,9,374.6755835082796,982.6686279212279
pipe,0.375,uniform,first_sampled_call_ms,9,64.78756417830785,117.65743927050691
pipe,0.375,uniform,graph_setup_ms,9,69.17003211047914,117.64563718177395
pipe,0.375,uniform,first_full_original_after_sampled_ms,9,4.129461116260952,0.02633192070672963
pipe,0.375,uniform,first_full_fast_after_sampled_ms,9,4.023740688959758,0.06667153316882306
pipe,0.375,pi,adapter_increment_ms,9,0.028927293088701036,0.007806560802637493
pipe,0.375,pi,case_preparation_ms,9,68.82211979892519,1.260893023927299
pipe,0.375,pi,reported_shared_input_preparation_ms,9,2586.6800356242393,5611.407302868302
pipe,0.375,pi,gpu_runtime_and_reconstruction_preparation_ms,9,49.08413853910234,3.914162438893799
pipe,0.375,pi,first_sampled_call_ms,9,26.148935986889732,1.6237937815554102
pipe,0.375,pi,graph_setup_ms,9,30.699048605230118,1.763540898787443
pipe,0.375,pi,first_full_original_after_sampled_ms,9,4.257286588350932,0.10526371731222497
pipe,0.375,pi,first_full_fast_after_sampled_ms,9,4.18958564599355,0.09348836126790935
pipe,0.375,cpg,adapter_increment_ms,9,5.7039103574222985,9.067578080161017
pipe,0.375,cpg,case_preparation_ms,9,0.15090405941009521,0.01270988798521921
pipe,0.375,cpg,reported_shared_input_preparation_ms,9,2523.5149885217347,5619.273463293745
pipe,0.375,cpg,gpu_runtime_and_reconstruction_preparation_ms,9,136.94352325465945,54.35711945080906
pipe,0.375,cpg,first_sampled_call_ms,9,1006.4519420266151,256.69964499167844
pipe,0.375,cpg,graph_setup_ms,9,1011.0246216257414,256.56092918442243
pipe,0.375,cpg,first_full_original_after_sampled_ms,9,68.95478732056088,1.9406869069122357
pipe,0.375,cpg,first_full_fast_after_sampled_ms,9,11.088201569186317,0.22066917882000575
pipe,0.375,ca,adapter_increment_ms,9,0.20301093657811484,0.01463641811282037
pipe,0.375,ca,case_preparation_ms,9,0.1502078440454271,0.0247414540584536
pipe,0.375,ca,reported_shared_input_preparation_ms,9,2518.030392626921,5610.202646370187
pipe,0.375,ca,gpu_runtime_and_reconstruction_preparation_ms,9,47.15584135717816,2.087866961703091
pipe,0.375,ca,first_sampled_call_ms,9,43.5138377878401,6.017754430602657
pipe,0.375,ca,graph_setup_ms,9,48.20384416315291,6.158653170491804
pipe,0.375,ca,first_full_original_after_sampled_ms,9,68.19940275616116,1.7584360685630724
pipe,0.375,ca,first_full_fast_after_sampled_ms,9,10.24034453762902,0.2871662073954074
pipe,0.5,uniform,adapter_increment_ms,9,0.0969900025261773,0.009563031911167844
pipe,0.5,uniform,case_preparation_ms,9,93.8629772928026,1.490543305512824
pipe,0.5,uniform,reported_shared_input_preparation_ms,9,2611.7258924576972,5608.889337555563
pipe,0.5,uniform,gpu_runtime_and_reconstruction_preparation_ms,9,121.110410326057,206.1812451015624
pipe,0.5,uniform,first_sampled_call_ms,9,29.59695789549086,4.318011690470134
pipe,0.5,uniform,graph_setup_ms,9,34.78042036294937,4.308633449952803
pipe,0.5,uniform,first_full_original_after_sampled_ms,9,4.917731715573205,0.07430817889638655
pipe,0.5,uniform,first_full_fast_after_sampled_ms,9,4.819946156607734,0.05056946380884619
pipe,0.5,pi,adapter_increment_ms,9,0.029375155766805012,0.01155329223801613
pipe,0.5,pi,case_preparation_ms,9,94.34359934594896,1.3119416893672704
pipe,0.5,pi,reported_shared_input_preparation_ms,9,2612.198835445775,5609.668431566195
pipe,0.5,pi,gpu_runtime_and_reconstruction_preparation_ms,9,47.713780568705666,4.044551269338956
pipe,0.5,pi,first_sampled_call_ms,9,27.82484061188168,0.9988499416575451
pipe,0.5,pi,graph_setup_ms,9,33.19503780868318,1.0803289932498625
pipe,0.5,pi,first_full_original_after_sampled_ms,9,5.115896463394165,0.11438002273849847
pipe,0.5,pi,first_full_fast_after_sampled_ms,9,4.980663458506267,0.07426586808924471
pipe,0.5,cpg,adapter_increment_ms,9,2.706170082092285,0.05440829829795382
