benchmark,budget,method,mode,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max,paired_ratio_to_uniform_mean,paired_ratio_to_uniform_std
pipe,0.375,uniform,sampled,9,3.2376898659600153,0.002371616197520695,0.00949077960658446,20,20,1.0,0.0
pipe,0.375,uniform,original,9,3.3755641844537525,0.008879341912020274,0.06228594621700143,5,5,1.0,0.0
pipe,0.375,uniform,fast,9,3.297939896583557,0.005579275483939471,0.05518140360915804,5,5,1.0,0.0
pipe,0.375,pi,sampled,9,3.3824765433867774,0.00361532512132093,0.007546785037377959,20,20,1.0447191366982096,0.0008209836100606514
pipe,0.375,pi,original,9,3.4943165050612555,0.008227219459131893,0.061272976004483025,5,5,1.0351814651400328,0.0013990013315701199
pipe,0.375,pi,fast,9,3.4205367167790732,0.005009018963027838,0.006928006454939819,5,5,1.0371746502589063,0.0011427213585837998
pipe,0.375,cpg,sampled,9,5.06748395661513,0.004581727942562036,0.010758707943145726,20,20,1.5651542059531174,0.0007993945531494063
pipe,0.375,cpg,original,9,68.45865398645401,1.958057838216702,1.7979190243255652,5,5,20.280451586253452,0.5702062765441082
pipe,0.375,cpg,fast,9,6.059085329373677,0.05856665340586214,0.011304591888528025,5,5,1.8372309727263894,0.017183404912808585
pipe,0.375,ca,sampled,9,4.095133187042342,0.004732296190316342,0.007926463126816658,20,20,1.26483175436994,0.0010353915770082256
pipe,0.375,ca,original,9,68.81640040212207,3.6250161898093225,7.16838604607246,5,5,20.38543604748148,1.0450939387348848
pipe,0.375,ca,fast,9,5.093367728922102,0.061903480220362614,0.007767529500745475,5,5,1.5444009411965836,0.017815612521967655
pipe,0.5,uniform,sampled,9,4.038314728273286,0.004787586506650646,0.011301717040052232,20,20,1.0,0.0
pipe,0.5,uniform,original,9,4.176077743371327,0.009386185932031275,0.06438058728208995,5,5,1.0,0.0
pipe,0.5,uniform,fast,9,4.093921018971337,0.0026301091351306795,0.05593975399571172,5,5,1.0,0.0
pipe,0.5,pi,sampled,9,4.199245240953234,0.00459172991012382,0.007073196418496376,20,20,1.0398513777286769,0.0009331180662246359
