benchmark,metric,method,budget_percent,normalized_mean,normalized_std,fullmesh_mean_error,raw_mean_error,raw_std_error,n_seeds,sample_count,mean_at_or_below_fullmesh
airfoil2d,field,uniform,37.5,3.015947865294304,0.21661840687505926,0.00511752859640037,0.015434199445896251,0.0011085508916898062,3,110,False
airfoil2d,field,uniform,50.0,2.235202921567434,0.03534902255568924,0.00511752859640037,0.011438714869878996,0.00018089963378354137,3,110,False
airfoil2d,field,uniform,75.0,1.4641289863334335,0.026880855819176076,0.00511752859640037,0.007492721956380032,0.00013756354835034885,3,110,False
airfoil2d,field,pi,37.5,1.6447277517059948,0.007358450436261193,0.00511752859640037,0.008416941302648716,3.765708053276143e-05,3,110,False
airfoil2d,field,pi,50.0,1.3418845674166109,0.011257979000046417,0.00511752859640037,0.006867132646822846,5.7613029470412376e-05,3,110,False
airfoil2d,field,pi,75.0,1.0621806231688948,0.008338406498362665,0.00511752859640037,0.005435739713609185,4.2672033703781615e-05,3,110,False
airfoil2d,field,cpg,37.5,1.503873353105785,0.02723219878000396,0.00511752859640037,0.007696114889883366,0.00013936155599952952,3,110,False
airfoil2d,field,cpg,50.0,1.2571178356839006,0.013737836059466471,0.00511752859640037,0.006433336473157303,7.030376888697984e-05,3,110,False
airfoil2d,field,cpg,75.0,1.0477015230408773,0.004170566172898859,0.00511752859640037,0.0053616425046539105,2.1342991652989958e-05,3,110,False
airfoil2d,field,ca,37.5,1.4335227111757298,0.011998056679801528,0.00511752859640037,0.007336093468031185,6.140039816011679e-05,3,110,False
airfoil2d,field,ca,50.0,1.1895617637953924,0.01877046552455337,0.00511752859640037,0.006087616343407383,9.605839408964913e-05,3,110,False
airfoil2d,field,ca,75.0,1.0261577208512545,0.00743028372281245,0.00511752859640037,0.005251391480873322,3.802468943086091e-05,3,110,False
pipe,field,uniform,37.5,2.2391411141512565,0.051366961513046705,0.004833503500558436,0.010822896413494416,0.00024828238828636173,3,200,False
pipe,field,uniform,50.0,1.8001711759584198,0.036796582109703935,0.004833503500558436,0.008701133680599419,0.0001778564084358399,3,200,False
pipe,field,uniform,75.0,1.3436261952520723,0.009333017791182422,0.004833503500558436,0.006494421918192904,4.51111741644544e-05,3,200,False
pipe,field,pi,37.5,1.944693270814877,0.029774710418372624,0.004833503500558436,0.009399681731996143,0.00014391616703531782,3,200,False
pipe,field,pi,50.0,1.5469363808465828,0.010005488903545755,0.004833503500558436,0.007477122411963156,4.8361565640087e-05,3,200,False
pipe,field,pi,75.0,1.2050560041388476,0.006331990381195626,0.004833503500558436,0.005824642414374081,3.0605697673011406e-05,3,200,False
pipe,field,cpg,37.5,1.29301452641289,0.015800266288863034,0.004833503500558436,0.006249790239689613,7.637064241697492e-05,3,200,False
pipe,field,cpg,50.0,1.1785081618064526,0.003951104044775989,0.004833503500558436,0.005696323325528176,1.9097675231495338e-05,3,200,False
pipe,field,cpg,75.0,1.0547014273658906,0.0024302356766061654,0.004833503500558436,0.005097903041217011,1.17465526500579e-05,3,200,False
pipe,field,ca,37.5,1.3167194254114025,0.012469218582162468,0.004833503500558436,0.006364367951979306,6.027001166611059e-05,3,200,False
pipe,field,ca,50.0,1.2509630202227797,0.007497007979258324,0.004833503500558436,0.00604653413731596,3.6236814311459636e-05,3,200,False
pipe,field,ca,75.0,1.1054628555743535,0.0028465433829131114,0.004833503500558436,0.005343258582155962,1.3758777405801977e-05,3,200,False
darcy,field,uniform,37.5,2.0945227179529913,0.04347830522626661,0.00987936935503967,0.02069256355317918,0.0004295382362614395,3,200,False
darcy,field,uniform,50.0,1.7839915468631526,0.02830648021236409,0.00987936935503967,0.017624711417729647,0.0002796501731590666,3,200,False
darcy,field,uniform,75.0,1.3214906181721096,0.011864695138481353,0.00987936935503967,0.01305549391614197,0.00011721570555800083,3,200,False
darcy,field,pi,37.5,2.133054639850857,0.05209530791760823,0.00987936935503967,0.02107323464156774,0.0005146687885825743,3,200,False
darcy,field,pi,50.0,1.7702596902862189,0.017838117785949337,0.00987936935503967,0.01748904933467569,0.00017622935420609598,3,200,False
darcy,field,pi,75.0,1.3044597200485073,0.007720348397426071,0.00987936935503967,0.01288723938313085,7.627217336776076e-05,3,200,False
darcy,field,cpg,37.5,1.1256590090555025,0.012156164307785681,0.00987936935503967,0.011120801118287255,0.00012009523713716488,3,200,False
darcy,field,cpg,50.0,1.0931703988238415,0.0025682721884848986,0.00987936935503967,0.010799834137976754,2.5372909554318375e-05,3,200,False
darcy,field,cpg,75.0,1.0353821016123583,0.00517082905337692,0.00987936935503967,0.010228922205425704,5.108453009008073e-05,3,200,False
darcy,field,ca,37.5,1.1237098746372751,0.006126050295756576,0.00987936935503967,0.011101544899446966,6.052151355932923e-05,3,200,False
darcy,field,ca,50.0,1.0902301495872693,0.0035321809436401506,0.00987936935503967,0.010770786329772783,3.489572017105361e-05,3,200,False
darcy,field,ca,75.0,1.0313973604825422,0.003440647341023531,0.00987936935503967,0.010189555476020032,3.39914259024066e-05,3,200,False
elasticity,field,uniform,37.5,15.68846544067572,0.3305750335037648,0.00768238679039833,0.12052485966306788,0.0025396052706248085,3,200,False
elasticity,field,uniform,50.0,11.056430562609057,0.1468663189114589,0.00768238679039833,0.0849397761031442,0.0011282838683598204,3,200,False
elasticity,field,uniform,75.0,5.881267812525468,0.06296453381428897,0.00768238679039833,0.04518217415374054,0.00048371790283848257,3,200,False
elasticity,field,pi,37.5,11.017813702154694,0.12713282638622128,0.00768238679039833,0.08464310644450294,0.0009766835460555106,3,200,False
elasticity,field,pi,50.0,8.047861830487637,0.0715383281555562,0.00768238679039833,0.061826787417489155,0.000549585107229426,3,200,False
elasticity,field,pi,75.0,4.484534723383233,0.02497567620104624,0.00768238679039833,0.03445193032000198,0.0001918728049281836,3,200,False
elasticity,field,cpg,37.5,7.857612048095874,0.12125113744237953,0.00768238679039833,0.06036521500236652,0.0009314981366081089,3,200,False
elasticity,field,cpg,50.0,5.293314416911851,0.1254856567310162,0.00768238679039833,0.040665288753908645,0.0009640293516548181,3,200,False
elasticity,field,cpg,75.0,2.321250739058396,0.045445396762459365,0.00768238679039833,0.01783274601494458,0.0003491291157723289,3,200,False
elasticity,field,ca,37.5,8.788289675899039,0.10608550629602317,0.00768238679039833,0.0675150405163208,0.0008149898922212873,3,200,False
elasticity,field,ca,50.0,6.150031071419224,0.04974476615195021,0.00768238679039833,0.04724691746361034,0.0003821585343771963,3,200,False
elasticity,field,ca,75.0,2.957010581424702,0.021039997445394597,0.00768238679039833,0.022716899029805216,0.00016163739844451407,3,200,False
plasticity2d,field,uniform,37.5,1.2967550521122453,0.010360847947124099,0.049436508941083916,0.06410704272814276,0.0005122041521752115,3,80,False
plasticity2d,field,uniform,50.0,1.1419491000559796,0.012894164052735232,0.049436508941083916,0.05645397689518016,0.0006374424564808481,3,80,False
plasticity2d,field,uniform,75.0,1.0386889171374998,0.006068739327596113,0.049436508941083916,0.05134915393907278,0.0003000172860298128,3,80,False
plasticity2d,field,pi,37.5,1.0290462720111266,0.002163736271619067,0.049436508941083916,0.05087245522706713,0.00010696756753804359,3,80,False
plasticity2d,field,pi,50.0,1.004869399890344,0.0004855703574507122,0.049436508941083916,0.04967723507230062,2.4004903317637446e-05,3,80,False
plasticity2d,field,pi,75.0,1.0001836547511114,0.0008966181783492379,0.049436508941083916,0.04944558819082931,4.4325672590700474e-05,3,80,False
plasticity2d,field,cpg,37.5,1.0151005629326562,0.0008985587753336689,0.049436508941083916,0.05018302805551957,4.442160893087234e-05,3,80,False
plasticity2d,field,cpg,50.0,1.0082620187821976,0.0002585011170746664,0.049436508941083916,0.04984495430648143,1.2779392785541924e-05,3,80,False
